STATE CD,STATE,Month,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,Filing %age as on 30th Apr 2025,,
26,Dadra and Nagar Haveli,2019-07-01T00:00:00Z,4659,1715,1731,3446,0.7396437,,
10,Bihar,2021-01-01T00:00:00Z,223136,44357,120612,164969,0.739320414,,
4,Chandigarh,2018-07-01T00:00:00Z,11708,7561,1094,8655,0.739238128,,
3,Punjab,2020-08-01T00:00:00Z,120831,42958,46337,89295,0.739007374,,
31,Lakshadweep,2018-12-01T00:00:00Z,203,33,117,150,0.738916256,,
36,Telangana,2019-07-01T00:00:00Z,238294,40853,135109,175962,0.738423964,,
23,Madhya Pradesh,2019-10-01T00:00:00Z,142536,22017,83139,105156,0.737750463,,
13,Nagaland,2019-03-01T00:00:00Z,6354,705,3982,4687,0.737645578,,
15,Mizoram,2018-01-01T00:00:00Z,2479,1419,409,1828,0.737394111,,
31,Lakshadweep,2020-06-01T00:00:00Z,266,69,127,196,0.736842105,,
12,Arunachal Pradesh,2018-01-01T00:00:00Z,3592,1885,761,2646,0.736636971,,
33,Maharashtra,2018-04-01T00:00:00Z,613309,374752,76859,451611,0.736351497,,
21,Odisha,2018-01-01T00:00:00Z,64080,37265,9920,47185,0.736345194,,
9,Uttar Pradesh,2019-10-01T00:00:00Z,411675,66568,236372,302940,0.735871743,,
8,Rajasthan,2019-11-01T00:00:00Z,173833,55711,72182,127893,0.735723367,,
17,Meghalaya,2022-05-01T00:00:00Z,16365,4298,7739,12037,0.73553315,,
17,Meghalaya,2017-10-01T00:00:00Z,8161,4409,1593,6002,0.735449087,,
12,Arunachal Pradesh,2018-09-01T00:00:00Z,9574,2109,4932,7041,0.735429288,,
26,Dadra and Nagar Haveli,2018-07-01T00:00:00Z,4311,2770,400,3170,0.73532823,,
3,Punjab,2019-07-01T00:00:00Z,109710,42897,37772,80669,0.735293045,,
19,West Bengal,2020-01-01T00:00:00Z,246718,87747,93661,181408,0.735284819,,
26,Dadra and Nagar Haveli,2018-04-01T00:00:00Z,4230,2848,260,3108,0.734751773,,
29,Karnataka,2018-05-01T00:00:00Z,438161,250719,71120,321839,0.734522242,,
17,Meghalaya,2021-06-01T00:00:00Z,25396,4066,14582,18648,0.734288864,,
20,Jharkhand,2019-01-01T00:00:00Z,64786,13888,33668,47556,0.734047479,,
29,Karnataka,2019-04-01T00:00:00Z,497177,108371,256400,364771,0.733684382,,
35,Andaman and Nicobar Islands,2017-12-01T00:00:00Z,4016,1767,1179,2946,0.733565737,,
29,Karnataka,2018-08-01T00:00:00Z,454656,223565,109937,333502,0.733526006,,
36,Telangana,2018-05-01T00:00:00Z,201424,112168,35557,147725,0.733403169,,
18,Assam,2018-12-01T00:00:00Z,150627,16042,94360,110402,0.732949604,,
31,Lakshadweep,2019-12-01T00:00:00Z,247,73,108,181,0.732793522,,
34,Puducherry,2018-08-01T00:00:00Z,14669,7222,3523,10745,0.732497103,,
36,Telangana,2018-08-01T00:00:00Z,210486,97470,56636,154106,0.732143706,,
6,Haryana,2019-01-01T00:00:00Z,155966,61372,52803,114175,0.732050575,,
15,Mizoram,2018-02-01T00:00:00Z,2578,1461,426,1887,0.731962762,,
21,Odisha,2018-02-01T00:00:00Z,65194,36922,10784,47706,0.731754456,,
37,Andhra Pradesh,2019-04-01T00:00:00Z,211912,39948,115112,155060,0.731718827,,
15,Mizoram,2019-06-01T00:00:00Z,5454,1297,2693,3990,0.731573157,,
34,Puducherry,2018-07-01T00:00:00Z,14633,7776,2926,10702,0.731360623,,
4,Chandigarh,2019-05-01T00:00:00Z,11968,5088,3657,8745,0.730698529,,
36,Telangana,2020-10-01T00:00:00Z,277254,58039,144523,202562,0.730600821,,
12,Arunachal Pradesh,2021-07-01T00:00:00Z,10237,1672,5805,7477,0.730389763,,
6,Haryana,2020-10-01T00:00:00Z,197957,64929,79653,144582,0.730370737,,
31,Lakshadweep,2020-09-01T00:00:00Z,289,92,119,211,0.730103806,,
3,Punjab,2018-07-01T00:00:00Z,104604,68221,8147,76368,0.730067684,,
29,Karnataka,2018-07-01T00:00:00Z,451955,240793,89127,329920,0.72998418,,
5,Uttarakhand,2019-11-01T00:00:00Z,44607,10679,21878,32557,0.729863026,,
3,Punjab,2018-05-01T00:00:00Z,103832,70414,5335,75749,0.729534248,,
22,Chhattisgarh,2019-08-01T00:00:00Z,52544,8449,29882,38331,0.729502893,,
10,Bihar,2018-02-01T00:00:00Z,88999,47436,17483,64919,0.729435162,,
15,Mizoram,2020-12-01T00:00:00Z,6826,3841,1138,4979,0.729416935,,
15,Mizoram,2019-03-01T00:00:00Z,5225,710,3101,3811,0.72937799,,
24,Gujarat,2020-07-01T00:00:00Z,410545,107856,191449,299305,0.729043101,,
34,Puducherry,2018-05-01T00:00:00Z,14404,8154,2342,10496,0.728686476,,
20,Jharkhand,2019-10-01T00:00:00Z,73311,10556,42854,53410,0.728540055,,
97,Other Territory,2020-04-01T00:00:00Z,81,55,4,59,0.728395062,,
35,Andaman and Nicobar Islands,2020-11-01T00:00:00Z,2995,538,1642,2180,0.7278798,,
36,Telangana,2018-07-01T00:00:00Z,209233,105982,46224,152206,0.727447391,,
26,Dadra and Nagar Haveli,2018-05-01T00:00:00Z,4313,2847,290,3137,0.727335961,,
23,Madhya Pradesh,2018-10-01T00:00:00Z,131546,20376,75292,95668,0.727258906,,
12,Arunachal Pradesh,2021-04-01T00:00:00Z,10109,797,6554,7351,0.727173806,,
35,Andaman and Nicobar Islands,2018-12-01T00:00:00Z,4471,397,2853,3250,0.726906732,,
18,Assam,2020-02-01T00:00:00Z,70808,30124,21340,51464,0.72681053,,
35,Andaman and Nicobar Islands,2017-09-01T00:00:00Z,3908,1809,1031,2840,0.726714432,,
33,Tamil Nadu,2018-05-01T00:00:00Z,630477,376069,82035,458104,0.726599067,,
8,Rajasthan,2020-10-01T00:00:00Z,198905,59784,84714,144498,0.726467409,,
12,Arunachal Pradesh,2021-05-01T00:00:00Z,10163,627,6756,7383,0.726458723,,
21,Odisha,2019-10-01T00:00:00Z,96497,13533,56562,70095,0.726395639,,
4,Chandigarh,2018-04-01T00:00:00Z,11692,7816,677,8493,0.726394116,,
17,Meghalaya,2021-03-01T00:00:00Z,25358,5747,12670,18417,0.726279675,,
17,Meghalaya,2022-04-01T00:00:00Z,16008,3974,7640,11614,0.725512244,,
12,Arunachal Pradesh,2017-10-01T00:00:00Z,3316,1828,576,2404,0.724969843,,
31,Lakshadweep,2021-01-01T00:00:00Z,225,56,107,163,0.724444444,,
9,Uttar Pradesh,2019-01-01T00:00:00Z,383854,94203,183877,278080,0.724442106,,
14,Manipur,2017-12-01T00:00:00Z,7712,4026,1559,5585,0.724196058,,
25,Daman and Diu,2019-05-01T00:00:00Z,3817,1452,1312,2764,0.724128897,,
17,Meghalaya,2018-12-01T00:00:00Z,23182,2495,14290,16785,0.724053145,,
24,Gujarat,2018-04-01T00:00:00Z,313968,205173,22061,227234,0.723748917,,
32,Kerala,2019-04-01T00:00:00Z,202318,39359,106988,146347,0.723351358,,
6,Haryana,2019-08-01T00:00:00Z,166832,57350,63289,120639,0.723116668,,
24,Gujarat,2018-08-01T00:00:00Z,322207,186044,46919,232963,0.723022777,,
13,Nagaland,2020-11-01T00:00:00Z,5432,938,2989,3927,0.722938144,,
12,Arunachal Pradesh,2020-06-01T00:00:00Z,12071,2277,6448,8725,0.722806727,,
33,Tamil Nadu,2018-08-01T00:00:00Z,654087,343627,128811,472438,0.722286179,,
2,Himachal Pradesh,2020-10-01T00:00:00Z,29840,8752,12800,21552,0.722252011,,
31,Lakshadweep,2017-07-01T00:00:00Z,90,44,21,65,0.722222222,,
35,Andaman and Nicobar Islands,2018-03-01T00:00:00Z,4246,1646,1420,3066,0.72209138,,
7,Delhi,2020-02-01T00:00:00Z,251087,140232,41034,181266,0.72192507,,
17,Meghalaya,2017-08-01T00:00:00Z,7595,4171,1312,5483,0.721922317,,
34,Puducherry,2019-05-01T00:00:00Z,16070,3416,8184,11600,0.721841942,,
1,Jammu and Kashmir,2020-10-01T00:00:00Z,40367,6289,22849,29138,0.721827235,,
17,Meghalaya,2018-01-01T00:00:00Z,8752,4358,1953,6311,0.721092322,,
12,Arunachal Pradesh,2017-08-01T00:00:00Z,2893,1654,431,2085,0.72070515,,
11,Sikkim,2020-01-01T00:00:00Z,3908,1156,1659,2815,0.720317298,,
17,Meghalaya,2018-02-01T00:00:00Z,8845,4270,2098,6368,0.719954777,,
27,Maharashtra,2019-02-01T00:00:00Z,474262,155444,185998,341442,0.719943829,,
35,Andaman and Nicobar Islands,2020-10-01T00:00:00Z,3008,477,1687,2164,0.719414894,,
13,Nagaland,2020-01-01T00:00:00Z,4925,998,2543,3541,0.718984772,,
12,Arunachal Pradesh,2018-02-01T00:00:00Z,3771,1849,861,2710,0.71864227,,
21,Odisha,2020-11-01T00:00:00Z,115490,21060,61921,82981,0.718512425,,
33,Tamil Nadu,2018-07-01T00:00:00Z,651946,364122,104281,468403,0.718469014,,
22,Chhattisgarh,2018-10-01T00:00:00Z,47462,6045,28027,34072,0.717879567,,
18,Assam,2020-01-01T00:00:00Z,71728,17893,33569,51462,0.717460406,,
15,Mizoram,2019-09-01T00:00:00Z,5800,1399,2760,4159,0.717068966,,
15,Mizoram,2018-12-01T00:00:00Z,5062,480,3149,3629,0.716910312,,
19,West Bengal,2019-02-01T00:00:00Z,227810,56664,106593,163257,0.716636671,,
20,Jharkhand,2018-11-01T00:00:00Z,65226,13652,33090,46742,0.716616073,,
12,Arunachal Pradesh,2020-12-01T00:00:00Z,13123,5389,4014,9403,0.716528233,,
31,Lakshadweep,2020-03-01T00:00:00Z,261,103,84,187,0.716475096,,
15,Mizoram,2018-06-01T00:00:00Z,4577,2295,984,3279,0.716408128,,
11,Sikkim,2018-04-01T00:00:00Z,2909,1520,564,2084,0.716397387,,
23,Madhya Pradesh,2019-08-01T00:00:00Z,145173,25966,77937,103903,0.715718488,,
18,Assam,2019-09-01T00:00:00Z,167059,23526,95995,119521,0.71544185,,
18,Assam,2019-06-01T00:00:00Z,161175,30568,84698,115266,0.71516054,,
14,Manipur,2021-09-01T00:00:00Z,11436,2196,5979,8175,0.714847849,,
14,Manipur,2021-06-01T00:00:00Z,11077,1312,6606,7918,0.71481448,,
18,Assam,2019-03-01T00:00:00Z,157244,13368,98964,112332,0.714380199,,
31,Lakshadweep,2019-03-01T00:00:00Z,210,37,113,150,0.714285714,,
17,Meghalaya,2022-02-01T00:00:00Z,16133,4322,7201,11523,0.714250294,,
23,Madhya Pradesh,2020-08-01T00:00:00Z,161498,29126,86144,115270,0.713754969,,
35,Andaman and Nicobar Islands,2019-02-01T00:00:00Z,2630,328,1549,1877,0.713688213,,
15,Mizoram,2018-09-01T00:00:00Z,4810,1799,1633,3432,0.713513514,,
16,Tripura,2020-01-01T00:00:00Z,10298,2804,4537,7341,0.712856865,,
12,Arunachal Pradesh,2018-12-01T00:00:00Z,10144,794,6436,7230,0.712736593,,
19,West Bengal,2020-11-01T00:00:00Z,276143,67198,129590,196788,0.712630775,,
7,Delhi,2020-01-01T00:00:00Z,253369,104289,76264,180553,0.712608883,,
20,Jharkhand,2020-08-01T00:00:00Z,83687,12954,46679,59633,0.712571845,,
20,Jharkhand,2018-10-01T00:00:00Z,65284,10409,36090,46499,0.712257215,,
9,Uttar Pradesh,2020-10-01T00:00:00Z,495943,96105,256825,352930,0.7116342,,
13,Nagaland,2020-10-01T00:00:00Z,5399,797,3044,3841,0.711428042,,
12,Arunachal Pradesh,2020-09-01T00:00:00Z,12614,3781,5191,8972,0.711273189,,
13,Nagaland,2017-08-01T00:00:00Z,3140,1564,669,2233,0.711146497,,
14,Manipur,2021-03-01T00:00:00Z,10990,1883,5930,7813,0.710919017,,
27,Maharashtra,2020-10-01T00:00:00Z,587071,169307,247980,417287,0.710794776,,
33,Tamil Nadu,2020-05-01T00:00:00Z,834053,381081,211562,592643,0.710557962,,
3,Punjab,2020-07-01T00:00:00Z,125200,37751,51183,88934,0.710335463,,
36,Telangana,2019-05-01T00:00:00Z,243625,41822,131201,173023,0.710202155,,
27,Maharashtra,2019-01-01T00:00:00Z,479560,157879,182644,340523,0.710073818,,
15,Mizoram,2020-06-01T00:00:00Z,6293,2198,2268,4466,0.709677419,,
17,Meghalaya,2019-03-01T00:00:00Z,23703,2644,14177,16821,0.709657005,,
30,Goa,2019-02-01T00:00:00Z,16105,4792,6631,11423,0.709282831,,
11,Sikkim,2018-10-01T00:00:00Z,3411,629,1790,2419,0.709176195,,
17,Meghalaya,2022-01-01T00:00:00Z,15987,4188,7146,11334,0.708951023,,
14,Manipur,2017-08-01T00:00:00Z,3367,1942,445,2387,0.708939709,,
11,Sikkim,2019-02-01T00:00:00Z,3685,822,1787,2609,0.708005427,,
17,Meghalaya,2021-11-01T00:00:00Z,16081,7840,3545,11385,0.70797836,,
4,Chandigarh,2018-05-01T00:00:00Z,12089,7824,733,8557,0.707833568,,
22,Chhattisgarh,2019-07-01T00:00:00Z,53849,8081,30024,38105,0.707626883,,
18,Assam,2017-11-01T00:00:00Z,55786,30609,8858,39467,0.707471409,,
19,West Bengal,2019-01-01T00:00:00Z,229686,57567,104919,162486,0.707426661,,
11,Sikkim,2018-05-01T00:00:00Z,3013,1534,596,2130,0.706936608,,
15,Mizoram,2020-03-01T00:00:00Z,6256,3267,1154,4421,0.706681586,,
11,Sikkim,2019-01-01T00:00:00Z,3623,765,1792,2557,0.7057687,,
15,Mizoram,2019-12-01T00:00:00Z,6083,1668,2624,4292,0.705572908,,
21,Odisha,2019-02-01T00:00:00Z,85107,15277,44729,60006,0.705065388,,
17,Meghalaya,2021-10-01T00:00:00Z,15844,3810,7343,11153,0.703925776,,
10,Bihar,2017-08-01T00:00:00Z,84976,49200,10610,59810,0.703845792,,
36,Telangana,2020-08-01T00:00:00Z,281986,48092,150313,198405,0.70359876,,
27,Maharashtra,2019-11-01T00:00:00Z,528988,154904,217121,372025,0.703276823,,
30,Goa,2020-02-01T00:00:00Z,17648,9035,3373,12408,0.703082502,,
18,Assam,2018-01-01T00:00:00Z,56208,29477,10018,39495,0.702657985,,
6,Haryana,2018-11-01T00:00:00Z,160836,57569,55442,113011,0.702647417,,
34,Puducherry,2019-04-01T00:00:00Z,16423,3505,8012,11517,0.701272605,,
24,Gujarat,2018-07-01T00:00:00Z,331018,197432,34371,231803,0.700273097,,
11,Sikkim,2018-11-01T00:00:00Z,3485,815,1625,2440,0.700143472,,
30,Goa,2020-01-01T00:00:00Z,17705,6414,5979,12393,0.699971759,,
18,Assam,2017-10-01T00:00:00Z,54732,30510,7798,38308,0.699919608,,
30,Goa,2019-01-01T00:00:00Z,16274,4837,6550,11387,0.699705051,,
5,Uttarakhand,2020-11-01T00:00:00Z,53588,13215,24260,37475,0.699317011,,
1,Jammu and Kashmir,2020-02-01T00:00:00Z,39314,13695,13793,27488,0.699191128,,
14,Manipur,2018-03-01T00:00:00Z,8603,3901,2111,6012,0.698825991,,
1,Jammu and Kashmir,2020-01-01T00:00:00Z,39353,7077,20418,27495,0.698676086,,
14,Manipur,2021-11-01T00:00:00Z,9887,4221,2685,6906,0.698492971,,
4,Chandigarh,2019-04-01T00:00:00Z,12580,4954,3831,8785,0.698330684,,
19,West Bengal,2020-10-01T00:00:00Z,279354,62903,132014,194917,0.697741933,,
11,Sikkim,2018-07-01T00:00:00Z,3181,1469,750,2219,0.697579378,,
6,Haryana,2018-10-01T00:00:00Z,161513,42906,69724,112630,0.697343248,,
12,Arunachal Pradesh,2019-03-01T00:00:00Z,10737,657,6829,7486,0.697215237,,
11,Sikkim,2018-08-01T00:00:00Z,3269,1354,925,2279,0.697155093,,
25,Daman and Diu,2019-04-01T00:00:00Z,3988,1456,1324,2780,0.697091274,,
14,Manipur,2021-04-01T00:00:00Z,9480,581,6025,6606,0.696835443,,
8,Rajasthan,2019-02-01T00:00:00Z,168653,60072,57251,117323,0.695647276,,
21,Odisha,2020-10-01T00:00:00Z,117700,20638,61193,81831,0.695250637,,
19,West Bengal,2019-11-01T00:00:00Z,259704,58073,122410,180483,0.694956566,,
13,Nagaland,2019-11-01T00:00:00Z,5024,708,2783,3491,0.69486465,,
15,Mizoram,2020-09-01T00:00:00Z,6663,3025,1604,4629,0.694732103,,
36,Telangana,2019-04-01T00:00:00Z,247115,43261,128369,171630,0.694534933,,
24,Gujarat,2018-05-01T00:00:00Z,329706,205298,23654,228952,0.694412598,,
17,Meghalaya,2019-06-01T00:00:00Z,24878,5739,11535,17274,0.69434842,,
23,Madhya Pradesh,2018-08-01T00:00:00Z,135990,60514,33842,94356,0.693845136,,
35,Andaman and Nicobar Islands,2018-06-01T00:00:00Z,4559,1366,1797,3163,0.693792498,,
6,Haryana,2019-07-01T00:00:00Z,173026,53550,66492,120042,0.693780126,,
16,Tripura,2020-11-01T00:00:00Z,12022,2504,5835,8339,0.693644984,,
11,Sikkim,2019-11-01T00:00:00Z,4062,838,1976,2814,0.692762186,,
14,Manipur,2021-05-01T00:00:00Z,9486,570,6000,6570,0.69259962,,
15,Mizoram,2021-01-01T00:00:00Z,5390,979,2750,3729,0.691836735,,
14,Manipur,2021-07-01T00:00:00Z,9575,1408,5211,6619,0.691279373,,
14,Manipur,2021-10-01T00:00:00Z,9837,1766,5034,6800,0.691267663,,
6,Haryana,2018-04-01T00:00:00Z,155733,97411,10219,107630,0.691118774,,
23,Madhya Pradesh,2019-07-01T00:00:00Z,149791,25018,78491,103509,0.691022825,,
35,Andaman and Nicobar Islands,2018-09-01T00:00:00Z,4663,847,2375,3222,0.690971478,,
36,Telangana,2020-07-01T00:00:00Z,284869,37224,159428,196652,0.690324325,,
13,Nagaland,2020-08-01T00:00:00Z,5469,744,3030,3774,0.690071311,,
17,Meghalaya,2019-09-01T00:00:00Z,26140,5993,12042,18035,0.689938791,,
9,Uttar Pradesh,2018-11-01T00:00:00Z,397911,90244,184232,274476,0.689792441,,
18,Assam,2018-02-01T00:00:00Z,57763,29012,10811,39823,0.689420563,,
22,Chhattisgarh,2020-08-01T00:00:00Z,62560,9816,33298,43114,0.689162404,,
12,Arunachal Pradesh,2020-03-01T00:00:00Z,12538,3981,4659,8640,0.68910512,,
19,West Bengal,2018-11-01T00:00:00Z,231682,56001,103608,159609,0.688914115,,
11,Sikkim,2020-11-01T00:00:00Z,4132,1011,1835,2846,0.688770571,,
9,Uttar Pradesh,2019-08-01T00:00:00Z,432883,76803,221110,297913,0.688206744,,
23,Madhya Pradesh,2020-07-01T00:00:00Z,166950,23842,90866,114708,0.687079964,,
20,Jharkhand,2018-08-01T00:00:00Z,66395,28032,17574,45606,0.686889073,,
12,Arunachal Pradesh,2019-06-01T00:00:00Z,11143,1390,6264,7654,0.68688863,,
21,Odisha,2019-08-01T00:00:00Z,99843,13611,54948,68559,0.686668069,,
17,Meghalaya,2020-12-01T00:00:00Z,26317,10570,7499,18069,0.686590417,,
35,Andaman and Nicobar Islands,2019-11-01T00:00:00Z,2906,339,1655,1994,0.686166552,,
19,West Bengal,2018-10-01T00:00:00Z,231591,44868,113987,158855,0.685929073,,
35,Andaman and Nicobar Islands,2020-08-01T00:00:00Z,3114,403,1731,2134,0.685292229,,
30,Goa,2018-11-01T00:00:00Z,16366,4535,6675,11210,0.684956617,,
14,Manipur,2021-08-01T00:00:00Z,9750,1515,5160,6675,0.684615385,,
14,Manipur,2019-12-01T00:00:00Z,10173,2393,4570,6963,0.684458862,,
20,Jharkhand,2019-08-01T00:00:00Z,76321,11321,40914,52235,0.684411892,,
35,Andaman and Nicobar Islands,2017-11-01T00:00:00Z,2430,1130,533,1663,0.68436214,,
17,Meghalaya,2021-04-01T00:00:00Z,16562,1263,10070,11333,0.684277261,,
17,Meghalaya,2021-08-01T00:00:00Z,16675,3464,7945,11409,0.684197901,,
20,Jharkhand,2020-07-01T00:00:00Z,86442,9910,49208,59118,0.683903658,,
11,Sikkim,2019-10-01T00:00:00Z,4095,761,2038,2799,0.683516484,,
20,Jharkhand,2018-04-01T00:00:00Z,63614,32938,10526,43464,0.683245826,,
17,Meghalaya,2021-07-01T00:00:00Z,16475,2852,8404,11256,0.683216995,,
17,Meghalaya,2020-09-01T00:00:00Z,25659,8368,9158,17526,0.683035192,,
8,Rajasthan,2019-01-01T00:00:00Z,171569,62254,54914,117168,0.682920574,,
6,Haryana,2020-08-01T00:00:00Z,208829,60014,82537,142551,0.682620709,,
5,Uttarakhand,2019-02-01T00:00:00Z,44209,10257,19895,30152,0.68203307,,
1,Jammu and Kashmir,2019-02-01T00:00:00Z,38756,7700,18714,26414,0.681546083,,
19,West Bengal,2018-04-01T00:00:00Z,219583,119835,29582,149417,0.680457959,,
35,Andaman and Nicobar Islands,2017-10-01T00:00:00Z,2368,1130,480,1610,0.679898649,,
9,Uttar Pradesh,2018-10-01T00:00:00Z,403018,61008,212956,273964,0.679781052,,
12,Arunachal Pradesh,2019-09-01T00:00:00Z,11960,1349,6780,8129,0.679682274,,
34,Puducherry,2020-05-01T00:00:00Z,18257,8164,4243,12407,0.679574958,,
22,Chhattisgarh,2018-08-01T00:00:00Z,49380,19103,14438,33541,0.679242608,,
17,Meghalaya,2019-12-01T00:00:00Z,26428,7356,10584,17940,0.678825488,,
1,Jammu and Kashmir,2019-01-01T00:00:00Z,38866,7859,18518,26377,0.678665157,,
17,Meghalaya,2021-05-01T00:00:00Z,16580,1226,10026,11252,0.678648975,,
8,Rajasthan,2019-10-01T00:00:00Z,184413,43294,81825,125119,0.678471691,,
2,Himachal Pradesh,2019-11-01T00:00:00Z,28002,7979,11011,18990,0.678165845,,
30,Goa,2018-10-01T00:00:00Z,16399,3936,7173,11109,0.677419355,,
30,Goa,2019-11-01T00:00:00Z,18104,5174,7089,12263,0.677364118,,
13,Nagaland,2019-10-01T00:00:00Z,5117,607,2858,3465,0.677154583,,
19,West Bengal,2019-10-01T00:00:00Z,264148,46935,131865,178800,0.676893257,,
2,Himachal Pradesh,2019-02-01T00:00:00Z,28879,8580,10968,19548,0.676893244,,
12,Arunachal Pradesh,2019-12-01T00:00:00Z,12515,3427,5044,8471,0.676867759,,
35,Andaman and Nicobar Islands,2020-07-01T00:00:00Z,3160,246,1891,2137,0.676265823,,
26,Dadra and Nagar Haveli,2019-05-01T00:00:00Z,5064,1806,1613,3419,0.675157978,,
35,Andaman and Nicobar Islands,2018-01-01T00:00:00Z,2484,1091,585,1676,0.674718196,,
6,Haryana,2018-05-01T00:00:00Z,161212,97518,11237,108755,0.67460859,,
7,Delhi,2020-11-01T00:00:00Z,323065,100713,116952,217665,0.673749865,,
6,Haryana,2018-08-01T00:00:00Z,165152,87089,24104,111193,0.673276739,,
20,Jharkhand,2018-07-01T00:00:00Z,67228,30793,14445,45238,0.672904147,,
33,Tamil Nadu,2020-04-01T00:00:00Z,875149,414691,174191,588882,0.672893416,,
5,Uttarakhand,2019-01-01T00:00:00Z,44859,10293,19891,30184,0.672863862,,
9,Uttar Pradesh,2018-04-01T00:00:00Z,383357,213362,44511,257873,0.672670644,,
11,Sikkim,2019-08-01T00:00:00Z,4075,815,1925,2740,0.672392638,,
35,Andaman and Nicobar Islands,2017-08-01T00:00:00Z,2208,1088,395,1483,0.671648551,,
23,Madhya Pradesh,2018-04-01T00:00:00Z,136612,73253,18467,91720,0.671390507,,
13,Nagaland,2020-07-01T00:00:00Z,5537,492,3225,3717,0.671302149,,
16,Tripura,2020-10-01T00:00:00Z,12221,2399,5804,8203,0.671221668,,
35,Andaman and Nicobar Islands,2019-10-01T00:00:00Z,2925,274,1689,1963,0.671111111,,
17,Meghalaya,2020-06-01T00:00:00Z,25760,6871,10388,17259,0.669992236,,
3,Punjab,2019-05-01T00:00:00Z,119967,48125,32229,80354,0.669800862,,
20,Jharkhand,2018-05-01T00:00:00Z,66074,32737,11461,44198,0.668916669,,
35,Andaman and Nicobar Islands,2018-02-01T00:00:00Z,2518,1074,606,1680,0.667196187,,
2,Himachal Pradesh,2019-01-01T00:00:00Z,29226,8682,10814,19496,0.66707726,,
5,Uttarakhand,2019-10-01T00:00:00Z,48183,8536,23585,32121,0.666645912,,
23,Madhya Pradesh,2018-07-01T00:00:00Z,141043,67073,26749,93822,0.665201392,,
6,Haryana,2018-07-01T00:00:00Z,166252,93663,16900,110563,0.665032601,,
10,Bihar,2020-01-01T00:00:00Z,133090,28179,60321,88500,0.664963558,,
14,Manipur,2018-06-01T00:00:00Z,9439,3462,2811,6273,0.664583113,,
27,Maharashtra,2019-10-01T00:00:00Z,553324,122665,244904,367569,0.66429253,,
14,Manipur,2017-11-01T00:00:00Z,4393,2234,681,2915,0.663555657,,
14,Manipur,2017-10-01T00:00:00Z,4160,2153,605,2758,0.662980769,,
30,Goa,2020-11-01T00:00:00Z,20258,6052,7378,13430,0.662947971,,
11,Sikkim,2020-10-01T00:00:00Z,4195,971,1810,2781,0.662932062,,
19,West Bengal,2018-08-01T00:00:00Z,235824,104078,52162,156240,0.662527987,,
26,Dadra and Nagar Haveli,2020-08-01T00:00:00Z,11357,3151,4367,7518,0.661970591,,
13,Nagaland,2019-02-01T00:00:00Z,4516,637,2351,2988,0.661647476,,
5,Uttarakhand,2020-10-01T00:00:00Z,55999,12050,24959,37009,0.660886802,,
1,Jammu and Kashmir,2018-11-01T00:00:00Z,39302,7751,18204,25955,0.660398962,,
12,Arunachal Pradesh,2021-02-01T00:00:00Z,9339,1579,4582,6161,0.659706607,,
16,Tripura,2019-02-01T00:00:00Z,10484,1847,5068,6915,0.659576498,,
1,Jammu and Kashmir,2019-11-01T00:00:00Z,41914,4048,23593,27641,0.65946939,,
30,Goa,2019-10-01T00:00:00Z,18492,4499,7688,12187,0.659041748,,
19,West Bengal,2019-08-01T00:00:00Z,268694,51102,125946,177048,0.658920556,,
16,Tripura,2019-11-01T00:00:00Z,10971,1711,5515,7226,0.65864552,,
35,Andaman and Nicobar Islands,2019-08-01T00:00:00Z,2929,300,1629,1929,0.658586548,,
13,Nagaland,2019-08-01T00:00:00Z,5116,621,2747,3368,0.658326818,,
22,Chhattisgarh,2020-07-01T00:00:00Z,65023,7601,35204,42805,0.658305523,,
8,Rajasthan,2018-11-01T00:00:00Z,176831,56359,59900,116259,0.657458251,,
17,Meghalaya,2020-03-01T00:00:00Z,26706,10227,7324,17551,0.65719314,,
1,Jammu and Kashmir,2018-10-01T00:00:00Z,39392,6639,19228,25867,0.656656174,,
20,Jharkhand,2019-07-01T00:00:00Z,79004,11061,40778,51839,0.65615665,,
13,Nagaland,2019-01-01T00:00:00Z,4478,584,2354,2938,0.656096472,,
24,Gujarat,2019-05-01T00:00:00Z,382894,116129,135086,251215,0.656095421,,
22,Chhattisgarh,2018-07-01T00:00:00Z,50949,21181,12229,33410,0.655753793,,
26,Dadra and Nagar Haveli,2019-04-01T00:00:00Z,5203,1758,1651,3409,0.655198924,,
21,Odisha,2019-01-01T00:00:00Z,91341,15847,43993,59840,0.655127489,,
16,Tripura,2019-01-01T00:00:00Z,10537,1994,4904,6898,0.654645535,,
15,Mizoram,2019-02-01T00:00:00Z,3712,503,1926,2429,0.654364224,,
30,Goa,2018-08-01T00:00:00Z,16723,7494,3447,10941,0.65424864,,
7,Delhi,2019-11-01T00:00:00Z,274081,80807,98335,179142,0.653609699,,
6,Haryana,2020-07-01T00:00:00Z,216203,50298,90694,140992,0.652127861,,
7,Delhi,2019-02-01T00:00:00Z,250214,78141,85008,163149,0.652037856,,
9,Uttar Pradesh,2019-07-01T00:00:00Z,453407,73238,222321,295559,0.651862455,,
18,Assam,2017-08-01T00:00:00Z,56748,29892,7035,36927,0.650718968,,
35,Andaman and Nicobar Islands,2019-07-01T00:00:00Z,2934,270,1639,1909,0.65064758,,
