state_code,state_name,YEAR,MONTH,no_suppliers_intra_state,no_eway_bills_intra_state,asset_value_intra_state,no_suppliers_inter_state_outward,no_eway_bills_inter_state_outward,asset_value_inter_state_outward,no_suppliers_inter_state_inward,no_eway_bills_inter_state_inward,asset_value_inter_state_inward
3,PUNJAB,2020,5,42302,811521,16306.03095,28962,385302,14007.25543,42314,353754,14572.81035
4,CHANDIGARH,2020,5,1295,10613,270.4702276,3335,39249,706.5689028,5107,45359,1236.339683
5,UTTARAKHAND,2020,5,8097,236632,4535.96493,5047,156455,9258.986547,14938,177395,7100.666991
6,HARYANA,2020,5,42804,827137,18579.48145,35525,798764,26048.93309,59128,563877,28382.34169
7,DELHI,2020,5,27345,309880,12116.93462,58852,483095,15841.02216,52181,386119,19350.92802
8,RAJASTHAN,2020,5,42906,855512,18943.78845,27058,448767,16677.40479,48018,338149,17226.18712
9,UTTAR PRADESH,2020,5,61898,1720701,35681.46077,33592,458667,24981.53075,94448,673459,34490.25294
10,BIHAR,2020,5,4856,303367,6591.370133,3632,38510,1444.5086,37319,238664,9585.662616
11,SIKKIM,2020,5,96,2846,50.25775786,95,3929,2112.762968,1255,22983,793.7655789
12,ARUNACHAL PRADESH,2020,5,107,1947,37.90523409,107,875,32.31768969,2329,23112,396.6744826
13,NAGALAND,2020,5,60,875,33.01063424,133,1309,45.175154,1796,19093,370.1547161
14,MANIPUR,2020,5,42,2297,37.39325543,39,134,5.974686398,1788,26532,478.185882
15,MIZORAM,2020,5,16,566,9.289952876,37,181,9.155889567,1531,26596,364.3080771
16,TRIPURA,2020,5,772,16674,226.9485964,217,1089,70.27762726,2842,21619,548.1985403
17,MEGHALAYA,2020,5,232,7731,147.6517354,263,22881,432.4228396,2096,20310,460.2075608
18,ASSAM,2020,5,8986,299148,5418.21301,7360,143722,4347.477985,14600,117250,5755.539272
19,WEST BENGAL,2020,5,17722,603610,16617.4887,16314,249696,14195.53494,27071,235338,17083.6199
20,JHARKHAND,2020,5,5538,195867,4024.512366,4951,107921,5834.308008,14636,110452,5499.486926
